,workclass,education,marital-status,occupation,relationship,race,gender,net-income
2313,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,<=50
2314,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2315,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2316,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2317,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,<=50
2318,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2319,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2320,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2321,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2322,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,>50
2323,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2324,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2325,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2326,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,<=50
2327,Private,Assoc-acdm,Widowed,Tech-support,Unmarried,White,Male,>50
2328,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2329,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
2330,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2331,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50
2332,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2333,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,<=50
2334,Local-gov,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2335,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,<=50
2336,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2337,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
2338,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2339,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2340,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2341,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2342,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2343,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,<=50
2344,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2345,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2346,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2347,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2348,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50
2349,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,<=50
2350,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2351,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2352,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2353,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,<=50
2354,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2355,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2356,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,<=50
2357,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2358,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
2359,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,<=50
2360,Private,Bachelors,Divorced,Tech-support,Unmarried,White,Male,<=50
2361,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,>50
2362,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
2363,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2364,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2365,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2366,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2367,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,<=50
2368,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2369,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2370,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2371,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2372,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2373,Private,Bachelors,Married-civ-spouse,Tech-support,Wife,Black,Female,<=50
2374,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<=50
2375,Private,Prof-school,Never-married,Exec-managerial,Not-in-family,White,Male,<=50
2376,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2377,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2378,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2379,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2380,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2381,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<=50
2382,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,>50
2383,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2384,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,<=50
2385,Private,Bachelors,Divorced,Sales,Unmarried,Black,Female,<=50
2386,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2387,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2388,Private,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,<=50
2389,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2390,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
2391,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2392,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2393,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2394,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
2395,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2396,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2397,State-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,>50
2398,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2399,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2400,Private,Prof-school,Divorced,Tech-support,Unmarried,White,Male,<=50
2401,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2402,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,<=50
2403,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2404,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2405,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2406,Private,Masters,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,<=50
2407,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2408,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,<=50
2409,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2410,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2411,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,<=50
2412,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,<=50
2413,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2414,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2415,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2416,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2417,State-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2418,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2419,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2420,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2421,Private,Some-college,Separated,Machine-op-inspct,Not-in-family,White,Male,<=50
2422,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2423,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,<=50
2424,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2425,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2426,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2427,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2428,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,<=50
2429,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2430,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2431,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2432,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2433,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2434,Private,HS-grad,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,<=50
2435,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2436,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50
2437,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2438,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2439,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2440,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2441,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2442,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2443,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50
2444,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2445,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
2446,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
2447,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2448,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2449,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2450,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
2451,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2452,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2453,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2454,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2455,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2456,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
2457,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2458,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<=50
2459,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
2460,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50
2461,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50
2462,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2463,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,<=50
2464,Private,Bachelors,Married-civ-spouse,Sales,Wife,Black,Female,<=50
2465,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2466,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50
2467,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2468,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2469,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2470,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
2471,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2472,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2473,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50
2474,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2475,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
2476,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,<=50
2477,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50
2478,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,<=50
2479,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2480,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2481,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,>50
2482,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2483,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2484,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2485,State-gov,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,<=50
2486,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,<=50
2487,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2488,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2489,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2490,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
2491,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2492,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2493,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,<=50
2494,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2495,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2496,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<=50
2497,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50
2498,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,<=50
2499,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2500,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2501,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,<=50
2502,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2503,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2504,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2505,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2506,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2507,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2508,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2509,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2510,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
2511,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,<=50
2512,Self-emp-not-inc,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,<=50
2513,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,Male,<=50
2514,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50
2515,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
2516,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2517,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50
2518,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,<=50
2519,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50
2520,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2521,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2522,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2523,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2524,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
2525,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,<=50
2526,Private,Prof-school,Married-AF-spouse,Prof-specialty,Wife,White,Female,<=50
2527,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2528,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,<=50
2529,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2530,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2531,Private,Masters,Married-civ-spouse,Other-service,Wife,White,Female,<=50
2532,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
2533,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2534,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2535,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,>50
2536,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50
2537,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50
2538,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,<=50
2539,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2540,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2541,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,<=50
2542,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2543,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,>50
2544,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2545,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,Black,Male,<=50
2546,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2547,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2548,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2549,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2550,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,<=50
2551,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2552,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2553,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2554,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,<=50
2555,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50
2556,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,<=50
2557,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
2558,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2559,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2560,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2561,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2562,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2563,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2564,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2565,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2566,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2567,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,<=50
2568,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2569,Self-emp-inc,Prof-school,Never-married,Craft-repair,Not-in-family,White,Male,<=50
2570,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,<=50
2571,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2572,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2573,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2574,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
2575,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,>50
2576,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2577,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2578,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2579,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50
2580,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50
2581,Local-gov,Some-college,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
2582,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2583,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2584,Private,Masters,Married-civ-spouse,Sales,Wife,White,Female,<=50
2585,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2586,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,<=50
2587,State-gov,Doctorate,Divorced,Prof-specialty,Own-child,White,Male,<=50
2588,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,<=50
2589,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2590,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2591,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50
2592,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,>50
2593,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2594,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2595,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2596,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50
2597,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2598,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2599,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
2600,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Black,Female,<=50
2601,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2602,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2603,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<=50
2604,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2605,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2606,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2607,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,<=50
2608,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2609,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50
2610,State-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2611,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2612,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50
2613,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50
2614,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50
2615,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,<=50
2616,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
2617,Private,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,<=50
2618,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,<=50
2619,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50
2620,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,>50
2621,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,<=50
2622,Private,HS-grad,Divorced,Tech-support,Not-in-family,White,Male,<=50
2623,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2624,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,<=50
2625,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50
2626,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50
2627,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,<=50
2628,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50
2629,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50
2630,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50
